Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Andorra,Europe,14988,19398.18,64,82.83,0,129,166.96,0,0,0
Curaçao,Americas,14802,9020.49,406,247.42,0,136,82.88,4,2.44,0
Mali,Africa,14750,72.84,57,0.28,9,536,2.65,2,0.01,1
Lesotho,Africa,14371,670.84,128,5.98,1,400,18.67,3,0.14,0
Timor-Leste,South-East Asia,14216,1078.24,1534,116.35,0,48,3.64,15,1.14,0
Aruba,Americas,13719,12849.6,790,739.94,0,124,116.14,9,8.43,0
Burkina Faso,Africa,13699,65.54,24,0.11,4,171,0.82,1,0,0
Congo,Africa,13493,244.52,95,1.72,0,179,3.24,0,0,0
Lao People's Democratic Republic,Western Pacific,12164,167.19,2270,31.2,411,11,0.15,2,0.03,0
Djibouti,Eastern Mediterranean,11690,1183.2,12,1.21,0,157,15.89,1,0.1,0
South Sudan,Africa,11301,100.96,121,1.08,58,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Burundi,Africa,11254,94.64,1151,9.68,271,10,0.08,0,0,0
Benin,Africa,10183,84,1118,9.22,0,119,0.98,6,0.05,0
Iceland,Europe,10053,2760.8,531,145.83,73,30,8.24,0,0,0
Gambia,Africa,9439,390.58,244,10.1,75,296,12.25,25,1.03,11
Jersey,Europe,9055,8400.13,237,219.86,35,75,69.58,1,0.93,0
Equatorial Guinea,Africa,9049,644.98,77,5.49,0,123,8.77,0,0,0
Guam,Western Pacific,8955,5305.88,371,219.82,0,144,85.32,1,0.59,0
Nicaragua,Americas,8496,128.25,303,4.57,0,198,2.99,1,0.02,0
Mauritius,Africa,7814,614.42,1849,145.39,371,23,1.81,2,0.16,1
Yemen,Eastern Mediterranean,7487,25.1,214,0.72,33,1416,4.75,15,0.05,1
Saint Lucia,Americas,7111,3872.52,824,448.74,156,97,52.82,2,1.09,0
Eritrea,Africa,6620,186.67,19,0.54,2,37,1.04,0,0,0
Sierra Leone,Africa,6352,79.63,14,0.18,0,121,1.52,0,0,0
Isle of Man,Europe,6232,7329.01,515,605.65,65,29,34.1,0,0,0
Niger,Africa,5761,23.8,39,0.16,0,196,0.81,0,0,0
United States Virgin Islands,Americas,5605,5367.49,310,296.86,11,45,43.09,4,3.83,0
Liberia,Africa,5527,109.28,23,0.45,9,245,4.84,24,0.47,0
Guinea-Bissau,Africa,5496,279.27,373,18.95,80,99,5.03,9,0.46,0
Gibraltar,Europe,5269,15639.19,64,189.96,0,96,284.94,1,2.97,0
San Marino,Europe,5255,15484.12,33,97.24,0,90,265.19,0,0,0
Chad,Africa,4985,30.35,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4640,1614.62,115,40.02,12,48,16.7,0,0,0
Comoros,Africa,4048,465.5,10,1.15,4,147,16.9,0,0,0
Sint Maarten,Americas,3366,7849.45,238,555.01,0,42,97.94,3,7,0
Liechtenstein,Europe,3324,8578.73,56,144.53,0,58,149.69,0,0,0
Saint Martin,Americas,3147,8140.41,204,527.69,0,16,41.39,-17,-43.97,0
Monaco,Europe,3129,7973.19,71,180.92,8,35,89.19,0,0,0
Bermuda,Americas,2750,4416.04,75,120.44,0,33,52.99,0,0,0
New Zealand,Western Pacific,2660,55.16,97,2.01,24,26,0.54,0,0,0
Turks and Caicos Islands,Americas,2612,6746.22,44,113.64,11,19,49.07,0,0,0
Bhutan,South-East Asia,2585,335.01,8,1.04,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,16,52.92,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2524,1151.68,36,16.43,7,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2320,2091.22,6,5.41,0,12,10.82,0,0,0
Bonaire,Americas,1733,8285.92,26,124.31,0,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,74,748.61,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1490,1521.51,118,120.5,0,43,43.91,0,0,0
Brunei Darussalam,Western Pacific,1455,332.59,815,186.29,122,3,0.69,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,396,550.07,16,1,1.39,1,1.39,0
Guernsey,Europe,1149,1782.28,88,136.5,16,18,27.92,0,0,0
Faroe Islands,Europe,995,2036.22,4,8.19,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,823,1547.23,168,315.84,31,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,663,1008.83,12,18.26,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,298,524.91,53,93.36,2,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,224,389.18,10,17.37,0,2,3.47,0,0,0
Grenada,Americas,222,197.29,34,30.22,10,1,0.89,0,0,0
Anguilla,Americas,166,1106.52,39,259.97,12,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,1,31.86,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,2,103.47,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
